Team,Number of Players,Averagae Age,Possession,Matches Played,Wins,Draws,Losses,Goals,Goals per90,Assists,Assists per90,Goals Against,Goals Against per90,Clean Sheets,Total Shots per90,Shots on Target per90,Shots on Target %,Goals/Shot,Goals/ShotonTarget,Goals Against.1,Goals Against per90.1,Shots on Target Against,Gk Saves,Saves%,Penalty Attempted,Penalty Goals,Non-Penalty Goals,Non-Penalty Goals per90,Yellow Cards,Red Cards,Fouls Commited,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Own Goals,Participations,Times_Won,Flags
Algeria,20,27.2,68.3,3,0,2,1,3,1,2,0.67,4,1.33,0,15.67,4.33,27.7,0.06,0.23,4,1.33,9,7,77.8,0,0,3,1,9,0,39,51,7,73,20,20,0,20,2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/800px-Flag_of_Algeria.svg.png
Angola,21,27.1,46.2,5,3,1,1,9,1.8,4,0.8,4,0.81,2,10.6,3.6,34,0.15,0.44,4,0.81,16,12,75,1,1,8,1.6,8,1,79,65,8,76,43,38,0,9,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/800px-Flag_of_Angola.svg.png
Burkina Faso,23,25.8,48.3,4,1,1,2,4,1,1,0.25,6,1.5,1,11.25,3.75,33.3,0.02,0.07,6,1.5,18,12,66.7,3,3,1,0.25,12,0,67,56,9,62,21,35,1,13,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/800px-Flag_of_Burkina_Faso.svg.png
Cameroon,20,25.9,58.5,4,1,1,2,4,1,4,1,8,2,0,9.5,1.5,15.8,0.11,0.67,8,2,16,8,50,0,0,4,1,7,0,56,60,1,104,22,33,0,21,5,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/800px-Flag_of_Cameroon.svg.png
Cape Verde,21,28,54,5,3,1,1,8,1.5,3,0.56,3,0.56,3,14.06,3.56,25.3,0.09,0.37,3,0.56,16,13,81.3,1,1,7,1.31,7,0,77,67,10,74,28,66,0,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/800px-Flag_of_Cape_Verde.svg.png
Congo DR,22,27.4,45.6,7,2,3,2,6,0.82,2,0.27,5,0.68,2,12,2.73,22.7,0.06,0.25,5,0.68,14,11,78.6,2,1,5,0.68,8,0,103,88,5,158,36,59,0,20,2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/800px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png
C̫te d'Ivoire,24,25.9,58.1,7,5,0,2,8,1.04,5,0.65,8,1.04,2,12.65,3.52,27.8,0.07,0.26,8,1.04,18,12,61.1,1,1,7,0.91,17,2,119,135,12,156,45,68,0,25,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/800px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png
Egypt,22,27.9,57.3,4,0,3,1,7,1.62,4,0.92,7,1.62,0,15.92,4.62,29,0.07,0.25,7,1.62,9,2,22.2,2,2,5,1.15,7,1,52,59,5,106,40,46,0,26,7,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/800px-Flag_of_Egypt.svg.png
Equ. Guinea,19,26.2,46,4,2,1,1,9,2.25,7,1.75,4,1,1,7.5,3.5,46.7,0.3,0.64,4,1,17,13,76.5,1,0,9,2.25,7,1,60,60,3,35,20,35,1,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/800px-Flag_of_Equatorial_Guinea.svg.png
Gambia,23,24.8,42,3,0,0,3,2,0.67,2,0.67,7,2.33,0,10.67,3,28.1,0.06,0.22,7,2.33,14,7,50,0,0,2,0.67,5,1,40,31,5,38,16,22,1,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_The_Gambia.svg/800px-Flag_of_The_Gambia.svg.png
Ghana,20,26.9,42.3,3,0,2,1,5,1.67,3,1,6,2,0,8.33,2.67,32,0.12,0.38,6,2,13,8,61.5,2,2,3,1,9,0,69,37,4,38,28,30,0,24,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/800px-Flag_of_Ghana.svg.png
Guinea,23,25.8,49.4,5,2,1,2,4,0.8,2,0.4,6,1.2,2,8.6,3.2,37.2,0.07,0.19,6,1.2,6,1,16.7,1,1,3,0.6,8,1,77,72,4,74,35,48,0,14,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Guinea.svg/800px-Flag_of_Guinea.svg.png
Guinea-Bissau,24,25.9,46.3,3,0,0,3,1,0.33,1,0.33,7,2.33,0,11.67,3.33,28.6,0.03,0.1,7,2.33,12,5,41.7,0,0,1,0.33,1,0,34,41,4,46,20,29,1,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Guinea-Bissau.svg/800px-Flag_of_Guinea-Bissau.svg.png
Mali,23,25.6,58.4,5,2,2,1,5,0.94,4,0.75,4,0.75,2,11.81,3.38,28.6,0.08,0.28,4,0.75,14,11,78.6,1,0,5,0.94,7,1,92,72,6,64,39,60,0,13,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/800px-Flag_of_Mali.svg.png
Mauritania,23,25.3,37.3,4,1,0,3,3,0.75,2,0.5,5,1.25,1,12.75,3.75,29.4,0.06,0.2,5,1.25,18,15,83.3,0,0,3,0.75,8,0,55,65,4,52,31,61,0,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Mauritania.svg/800px-Flag_of_Mauritania.svg.png
Morocco,22,27,54.5,4,2,1,1,5,1.25,3,0.75,3,0.75,2,14.25,5,35.1,0.09,0.25,3,0.75,7,4,57.1,1,0,5,1.25,7,1,58,52,5,77,28,28,0,19,1,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/800px-Flag_of_Morocco.svg.png
Mozambique,21,27.4,50.3,3,0,2,1,4,1.33,3,1,7,2.33,0,9,2.67,29.6,0.11,0.38,7,2.33,11,7,63.6,1,1,3,1,7,0,34,54,5,63,25,27,0,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/800px-Flag_of_Mozambique.svg.png
Namibia,21,27.4,43.5,4,1,1,2,1,0.25,1,0.25,7,1.75,2,8.25,2.75,33.3,0.03,0.09,7,1.75,17,11,64.7,0,0,1,0.25,4,1,61,58,11,101,32,42,0,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Namibia.svg/800px-Flag_of_Namibia.svg.png
Nigeria,22,26.1,43,7,5,1,1,7,0.95,4,0.55,4,0.55,4,11.05,3.14,28.4,0.06,0.22,4,0.55,22,19,86.4,2,2,5,0.68,12,0,129,98,16,135,46,69,0,20,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/800px-Flag_of_Nigeria.svg.png
Senegal,21,26.5,51.3,4,3,0,1,9,2.08,9,2.08,2,0.46,2,9.46,3,31.7,0.22,0.69,2,0.46,7,6,85.7,0,0,9,2.08,9,0,67,64,7,47,26,39,0,17,1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/800px-Flag_of_Senegal.svg.png
South Africa,21,27.7,51.9,7,4,1,2,7,0.91,4,0.52,3,0.39,5,9.91,4.3,43.4,0.07,0.15,3,0.39,22,20,90.9,3,2,5,0.65,6,1,93,97,12,89,48,54,0,11,1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/800px-Flag_of_South_Africa.svg.png
Tanzania,17,26,51.3,3,0,2,1,1,0.33,1,0.33,4,1.33,1,4,0.67,16.7,0.08,0.5,4,1.33,14,10,71.4,0,0,1,0.33,5,1,27,39,1,26,22,25,0,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tanzania.svg/800px-Flag_of_Tanzania.svg.png
Tunisia,19,27.3,51.7,3,0,2,1,1,0.33,1,0.33,2,0.67,1,8.67,2.33,26.9,0.04,0.14,2,0.67,7,5,71.4,0,0,1,0.33,2,0,34,38,6,62,18,33,0,21,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/800px-Flag_of_Tunisia.svg.png
Zambia,18,26.3,43.7,3,0,2,1,2,0.67,2,0.67,3,1,0,8.33,2.33,28,0.08,0.29,3,1,14,11,78.6,0,0,2,0.67,4,1,39,34,6,32,15,23,0,18,1,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Zambia.svg/800px-Flag_of_Zambia.svg.png
